True Azimuth,Optical Azimuth,Optical Azimuth 2,Difference,Difference 2
0,0,,0,
5,5.22,,0.22,
10,10.25,,0.25,
15,15.27,,0.27,
20,20.63,,0.63,
25,25.52,,0.52,
30,30.81,,0.81,
35,35.77,,0.77,
40,40.72,,0.72,
45,46.08,,1.08,
50,51.17,,1.17,
55,56.2,,1.2,
60,61.15,,1.15,
65,66.24,,1.24,
70,71.2,,1.2,
75,75.82,,0.82,
80,80.84,,0.84,
85,85.26,,0.26,
90,89.62,,0.38,
95,94.98,,0.02,
100,99.73,,0.27,
105,103.82,,1.18,
110,109.71,,0.29,
115,114.87,,0.13,
120,120.03,,0.03,
125,125.12,,0.12,
130,130.41,,0.41,
135,134.96,,0.04,
140,139.72,,0.28,
145,144.41,,0.59,
150,149.23,,0.77,
155,154.12,,0.88,
160,158.87,,1.13,
165,163.9,,1.1,
170,168.79,,1.21,
175,173.81,,1.19,
180,179.1,,0.9,
185,183.99,,1.01,
190,189.22,,0.78,
195,194.44,,0.56,
200,200.13,,0.13,
205,204.76,,0.24,
210,210.05,,0.05,
215,214.94,,0.06,
220,220.16,,0.16,
225,225.85,,0.85,
230,231.75,,1.75,
235,236.97,,1.97,
240,242.38,,2.38,
245,247.54,,2.54,
250,252.7,,2.7,
255,257.45,,2.45,
260,262.61,,2.61,
265,267.5,,2.5,
270,272.39,,2.39,
275,277.35,,2.35,
280,282.37,,2.37,
285,287.86,282.24,2.86,2.76
290,293.22,287.26,3.22,2.74
295,298.18,292.55,3.18,2.45
300,303.67,297.58,3.67,2.42
305,308.63,302.4,3.63,2.6
310,313.72,307.29,3.72,2.71
315,319.28,312.51,4.28,2.49
320,324.5,317.54,4.5,2.46
325,329.66,322.96,4.66,2.04
330,334.61,328.25,4.61,1.75
335,339.77,333.41,4.77,1.59
340,344.73,338.5,4.73,1.5
345,349.89,344.13,4.89,0.87
350,355.04,349.02,5.04,0.98
355,0.33,353.77,354.67,1.23
360,5.76,,354.24,
